aqm,qmult,min_delay,bandwidth,protocol,run,flow,goodput_mean,goodput_std,delay_mean,delay_std,retr_mean,retr_std,util_mean,util_std
fifo,0.2,10,100,cubic,1,0,45.67574555045917,27.150751526676043,22.023897310872247,2.1016749976762275,13.49,112.26560272655006,94.42889678030303,3.763091276192313
fifo,0.2,10,100,cubic,1,1,31.727035197173414,9.64904642710719,22.07688143163883,0.6839443838475203,1.99,4.635741580373091,94.42889678030303,3.763091276192313
fifo,0.2,10,100,cubic,1,2,33.018228224127235,9.430158434313384,21.70553211896045,0.751051512953045,5.891089108910891,43.64697033932572,94.42889678030303,3.763091276192313
fifo,0.2,10,100,cubic,1,3,47.34542804379874,25.075932197570175,20.962941025012967,0.9476906839212482,1.2,1.1806529609251881,94.42889678030303,3.763091276192313
fifo,0.2,10,100,cubic,2,0,46.24113116352488,26.516895778706033,22.026355866505426,1.1394132411850106,15.87,137.19334252187036,94.52641098484848,3.67917581310149
fifo,0.2,10,100,cubic,2,1,33.53742246232721,9.969860006015951,22.255116458326224,0.9710461641546185,3.8613861386138613,23.160323703683545,94.52641098484848,3.67917581310149
fifo,0.2,10,100,cubic,2,2,31.835715474883045,9.379438540729366,21.70251542571851,0.9006961519683232,1.494851485148515,1.338759585483059,94.52641098484848,3.67917581310149
fifo,0.2,10,100,cubic,2,3,45.91891125579667,25.94933744020134,21.15988789575678,0.9359248528964205,1.2099000000000002,1.2815485385133316,94.52641098484848,3.67917581310149
fifo,0.2,10,100,cubic,3,0,45.95664380931556,26.287729912220517,21.992857132588455,1.1965668199047772,16.64,141.0820035198385,94.51181660353537,3.5861329990070385
fifo,0.2,10,100,cubic,3,1,33.06273367551403,10.834068601803041,22.13323426363598,0.8473802981981391,5.910693069306931,41.84666711358088,94.51181660353537,3.5861329990070385
fifo,0.2,10,100,cubic,3,2,30.834749254671625,8.48191418020522,21.709853822018783,0.8113378886501021,1.524257425742574,1.4927929170080179,94.51181660353537,3.5861329990070385
fifo,0.2,10,100,cubic,3,3,47.63564223592413,25.10728496243028,21.18493185627969,0.9179478022994771,1.88,6.889136522105075,94.51181660353537,3.5861329990070385
fifo,0.2,10,100,cubic,4,0,46.42216663711591,26.44418532498778,21.976577145358835,1.287185337696454,15.52,130.19794409461562,94.43724037247475,3.652317314321488
fifo,0.2,10,100,cubic,4,1,33.00318734148581,9.709372537139936,22.082096763962372,0.9652170280946989,4.871287128712871,32.018639373445154,94.43724037247475,3.652317314321488
fifo,0.2,10,100,cubic,4,2,32.45053320209582,9.750913496032,21.73097334928182,0.8995054875546691,1.5841584158415842,1.8987750089606368,94.43724037247475,3.652317314321488
fifo,0.2,10,100,cubic,4,3,45.46313789272845,25.55217101737618,21.158894665397202,0.9101863740434649,2.99,17.91759757976228,94.43724037247475,3.652317314321488
fifo,0.2,10,100,cubic,5,0,46.83990563618588,26.596843971968717,21.64737067941204,1.1031166661141474,15.3899,130.58207210231947,94.43888020833333,3.7530951319936356
fifo,0.2,10,100,cubic,5,1,32.12913073112195,9.253029754303741,21.926749933832717,0.8095510783217718,3.4554455445544554,15.656643799023625,94.43888020833333,3.7530951319936356
fifo,0.2,10,100,cubic,5,2,32.48423754872249,10.710383308914512,21.62311239195193,0.8138774971312248,1.683168316831683,2.190573865768087,94.43888020833333,3.7530951319936356
fifo,0.2,10,100,cubic,5,3,45.74858474765116,25.19327723956257,21.65716033347624,3.011135295980204,5.26,40.4970681068707,94.43888020833333,3.7530951319936356
fifo,0.2,10,100,bbr,1,0,48.699187340334454,26.369131343487012,22.109946680623143,1.4023365498959148,50.74,176.44432091693508,94.47759548611111,3.713927185521267
fifo,0.2,10,100,bbr,1,1,31.73132359344767,8.15957489086002,22.550405516516417,1.0608883973326555,22.287128712871286,33.79625323424577,94.47759548611111,3.713927185521267
fifo,0.2,10,100,bbr,1,2,34.38235651793825,14.609292521766022,22.310248671398714,1.228166832202561,22.07861386138614,38.26033186028848,94.47759548611111,3.713927185521267
fifo,0.2,10,100,bbr,1,3,42.41601414650101,27.15697262067971,21.667052335947602,1.3237919216874308,20.7909,48.02264152649059,94.47759548611111,3.713927185521267
fifo,0.2,10,100,bbr,2,0,47.61033755059081,26.834613413140982,21.88901970906184,1.3364696337070778,46.39,179.42573348988668,94.5816224747475,3.2973898411406624
fifo,0.2,10,100,bbr,2,1,32.942886577487535,9.260119074365882,22.570190784175463,1.13670416448395,24.89029702970297,40.98103352663146,94.5816224747475,3.2973898411406624
fifo,0.2,10,100,bbr,2,2,32.62711569072189,12.445373703600556,22.429179682587524,1.366163052030633,18.643267326732673,35.12550466851433,94.5816224747475,3.2973898411406624
fifo,0.2,10,100,bbr,2,3,44.73352937133136,26.83312046209742,21.864745080875128,1.3521193050458589,26.51,53.45091111468445,94.5816224747475,3.2973898411406624
fifo,0.2,10,100,bbr,3,0,49.127465641106,25.46715161973379,21.89195256118892,1.377532757936918,58.54,181.18367375777444,94.64910669191919,3.1922753412874707
fifo,0.2,10,100,bbr,3,1,29.717604196262037,10.904300127027266,22.662120067878597,1.1066444408745357,20.14851485148515,36.26413824665185,94.64910669191919,3.1922753412874707
fifo,0.2,10,100,bbr,3,2,31.843030506209278,10.211466995588747,22.451431130710954,1.2916631215314234,18.445544554455445,30.8079454840873,94.64910669191919,3.1922753412874707
fifo,0.2,10,100,bbr,3,3,47.441442050681935,26.14743969868252,21.86138276524383,1.3889717428258117,30.516800000000003,56.21101245280765,94.64910669191919,3.1922753412874707
