aqm,qmult,min_delay,bandwidth,protocol,run,delay_mean,efficiency_mean,efficiency_std,fairness_mean,fairness_std,retr_mean,retr_std,efficiency1_mean,efficiency1_std,efficiency2_mean,efficiency2_std,util_mean,util_std
fifo,0.2,10,100,cubic,1,21.64866630696826,39.441609253889645,20.850506060922296,1.0,0.0,0.06447948626617887,0.6881733350087131,0.41840717426908364,0.2368508984824723,0.41701593216205723,0.2351496279851349,94.42889678030303,3.763091276192313
fifo,0.2,10,100,cubic,2,21.771077684280268,39.38329508913295,20.817450818846996,1.0,0.0,0.0640234306677064,0.7943192304907287,0.4213782882667701,0.22757697986398004,0.419798435710093,0.22648372848486267,94.52641098484848,3.67917581310149
fifo,0.2,10,100,cubic,3,21.741042323889687,39.372442243856334,20.762228433369348,1.0,0.0,0.07409992502696479,0.8409843182200419,0.40946721117346624,0.20631363110624149,0.4077994348854129,0.20419479400313542,94.51181660353537,3.5861329990070385
fifo,0.2,10,100,cubic,4,21.721658769550622,39.33475626835649,20.649933056162535,1.0,0.0,0.07125512877506997,0.7720220092545867,0.3754477940203094,0.2014536204503246,0.37432337077884253,0.20045260928002664,94.43724037247475,3.652317314321488
fifo,0.2,10,100,cubic,5,21.71593830929812,39.30046466592037,20.78238096595855,1.0,0.0,0.07356074318956973,0.7850053201287612,0.37728679294096684,0.20934875671225858,0.3761372459035269,0.2079499423541817,94.43888020833333,3.7530951319936356
fifo,0.2,10,100,bbr,1,22.165460667713496,39.30722039955535,21.679113765898425,1.0,0.0,0.3311962867850688,1.089500541165401,0.331688067826062,0.18234601002873072,0.3285834962644072,0.17980301844656604,94.47759548611111,3.713927185521267
fifo,0.2,10,100,bbr,2,22.185988179039228,39.478467297532895,21.517261756370225,1.0,0.0,0.3327010994526877,1.1147338099384403,0.32757448788759663,0.17946974476639294,0.3246344846218987,0.17733409226089666,94.5816224747475,3.2973898411406624
fifo,0.2,10,100,bbr,3,22.205289865420625,39.532385598564815,21.532528649344936,1.0,0.0,0.3644937543726679,1.127524455496722,0.3272882093410103,0.18045132434243158,0.3241065739497557,0.1779581064169446,94.64910669191919,3.1922753412874707
fifo,0.2,10,100,bbr,4,21.964269404725062,39.49367883951909,21.90247468944673,1.0,0.0,0.34846405484783116,1.1315743193553613,0.33335302068885636,0.18451767132702068,0.33024666325970026,0.181886609653162,94.5195746527778,3.5884626146471867
fifo,0.2,10,100,bbr,5,22.00388191563113,39.484878345340306,21.953365422002367,1.0,0.0,0.3103236298062908,1.3311326309878684,0.3231783081021823,0.1794160680270106,0.3204340015952311,0.17760501842695825,94.55691051136363,3.2676131470646084
fifo,0.2,10,100,bbr1,1,23.053507530286524,39.61891513069909,21.843395152438948,1.0,0.0,3.9904010829640857,3.203880817256153,0.3136211691592696,0.173578493301551,0.27974559269212507,0.16785265120451226,94.50806107954543,4.12651858259954
fifo,0.2,10,100,bbr1,2,23.20816212653378,39.75807202206074,21.886878643064193,1.0,0.0,4.182464542673595,3.717068282138927,0.31435539159712905,0.1754129815082614,0.2788160019142039,0.17181076895956507,94.85555792297983,3.2304986183550084
fifo,0.2,10,100,bbr1,3,23.197853316133504,39.48658592207598,21.58341917345663,1.0,0.0,3.998683815571799,2.8732543624280376,0.32011286777177844,0.17940224674100974,0.2854834379221979,0.17427605562690074,94.63514283459598,3.6467152392068956
fifo,0.2,10,100,bbr1,4,23.298529147033012,39.67451760614671,21.912391091902037,1.0,0.0,4.01498082858413,3.3618063575724366,0.321540873820331,0.18477995090656105,0.2874633165484855,0.17814765839532806,94.63386758207072,3.536800652778347
fifo,0.2,10,100,bbr1,5,23.154756252510158,39.61599518969631,21.57404564484609,1.0,0.0,3.938814988776819,3.279463854800338,0.34565451396650965,0.20647317436947138,0.3120582278921856,0.19823845054302094,94.60307686237373,3.9370381211950347
fifo,0.2,100,100,cubic,1,211.59427404078136,36.86303087876477,25.145858825187805,1.0,0.0,0.07472821136019123,1.0362205680718957,0.48107871740859887,0.28476759656237854,0.4792876716347741,0.283275096736967,91.48713936237375,16.264325308372943
fifo,0.2,100,100,cubic,2,211.5572184062267,37.23351648843746,25.335415041935054,1.0,0.0,0.07401651410914178,1.037508550893106,0.5002142744787252,0.2889928766599516,0.49842064271530945,0.28770759512005906,91.35389678030306,16.278551904736908
