aqm,qmult,min_delay,bandwidth,protocol,run,flow,goodput_mean,goodput_std,delay_mean,delay_std,retr_mean,retr_std,util_mean,util_std
fifo,0.2,10,100,cubic,1,0,,,,,,,,
fifo,0.2,10,100,cubic,1,1,,,,,,,,
fifo,0.2,10,100,cubic,1,2,,,,,,,,
fifo,0.2,10,100,cubic,1,3,,,,,,,,
fifo,0.2,10,100,cubic,2,0,,,,,,,,
fifo,0.2,10,100,cubic,2,1,,,,,,,,
fifo,0.2,10,100,cubic,2,2,,,,,,,,
fifo,0.2,10,100,cubic,2,3,,,,,,,,
fifo,0.2,10,100,cubic,3,0,,,,,,,,
fifo,0.2,10,100,cubic,3,1,,,,,,,,
fifo,0.2,10,100,cubic,3,2,,,,,,,,
fifo,0.2,10,100,cubic,3,3,,,,,,,,
fifo,0.2,10,100,cubic,4,0,,,,,,,,
fifo,0.2,10,100,cubic,4,1,,,,,,,,
fifo,0.2,10,100,cubic,4,2,,,,,,,,
fifo,0.2,10,100,cubic,4,3,,,,,,,,
fifo,0.2,10,100,cubic,5,0,,,,,,,,
fifo,0.2,10,100,cubic,5,1,,,,,,,,
fifo,0.2,10,100,cubic,5,2,,,,,,,,
fifo,0.2,10,100,cubic,5,3,,,,,,,,
fifo,0.2,10,100,orca,1,0,,,,,,,,
fifo,0.2,10,100,orca,1,1,,,,,,,,
fifo,0.2,10,100,orca,1,2,,,,,,,,
fifo,0.2,10,100,orca,1,3,,,,,,,,
fifo,0.2,10,100,orca,2,0,,,,,,,,
fifo,0.2,10,100,orca,2,1,,,,,,,,
fifo,0.2,10,100,orca,2,2,,,,,,,,
fifo,0.2,10,100,orca,2,3,,,,,,,,
fifo,0.2,10,100,orca,3,0,,,,,,,,
fifo,0.2,10,100,orca,3,1,,,,,,,,
fifo,0.2,10,100,orca,3,2,,,,,,,,
fifo,0.2,10,100,orca,3,3,,,,,,,,
fifo,0.2,10,100,orca,4,0,,,,,,,,
fifo,0.2,10,100,orca,4,1,,,,,,,,
fifo,0.2,10,100,orca,4,2,,,,,,,,
fifo,0.2,10,100,orca,4,3,,,,,,,,
fifo,0.2,10,100,orca,5,0,,,,,,,,
fifo,0.2,10,100,orca,5,1,,,,,,,,
fifo,0.2,10,100,orca,5,2,,,,,,,,
fifo,0.2,10,100,orca,5,3,,,,,,,,
fifo,0.2,10,100,bbr3,1,0,,,,,,,,
fifo,0.2,10,100,bbr3,1,1,,,,,,,,
fifo,0.2,10,100,bbr3,1,2,,,,,,,,
fifo,0.2,10,100,bbr3,1,3,,,,,,,,
fifo,0.2,10,100,bbr3,2,0,,,,,,,,
fifo,0.2,10,100,bbr3,2,1,,,,,,,,
fifo,0.2,10,100,bbr3,2,2,,,,,,,,
