aqm,qmult,min_delay,bandwidth,protocol,run,flow,goodput_mean,goodput_std,delay_mean,delay_std,retr_mean,retr_std,util_mean,util_std
fifo,0.2,10,100,cubic,1,0,47.60836661503357,25.86228222363113,21.606146750000004,0.8786735032021072,12.34,103.16518283556205,94.57331912878787,3.6325792452128804
fifo,0.2,10,100,cubic,1,1,33.19563444544285,9.137684465214868,21.86537888888889,0.7128538650921635,8.118811881188119,65.2230461000884,94.57331912878787,3.6325792452128804
fifo,0.2,10,100,cubic,1,2,31.70856950220426,10.447949707011507,21.901646333333332,0.7906860729209152,1.5148514851485149,1.338759585483059,94.57331912878787,3.6325792452128804
fifo,0.2,10,100,cubic,1,3,45.58196419894291,26.44261518118089,21.570476,0.9373039615091152,4.2198,28.188264840303138,94.57331912878787,3.6325792452128804
fifo,0.2,10,100,cubic,2,0,48.138971485681566,25.951104320208128,21.59759077777778,0.8647958472494298,15.28,136.95388001997333,94.58134706439392,3.5240592711952634
fifo,0.2,10,100,cubic,2,1,30.856385374917913,9.186262476828825,21.890118333333334,0.7606476938993991,1.8217821782178218,2.418247462953121,94.58134706439392,3.5240592711952634
fifo,0.2,10,100,cubic,2,2,32.95844148831337,9.945876283603608,21.931619944444446,0.7348322768584111,6.851485148514851,52.79098145301221,94.58134706439392,3.5240592711952634
fifo,0.2,10,100,cubic,2,3,46.05976407185088,26.154388578997935,21.613380861111118,0.9516727911672722,1.58,3.9547439866570375,94.58134706439392,3.5240592711952634
fifo,0.2,10,100,cubic,3,0,46.51713069446236,26.220443947607542,21.55065461111111,0.8547885216182065,15.48,138.1681364837564,94.58977982954545,3.5826381055857373
fifo,0.2,10,100,cubic,3,1,31.956348123714292,10.020252207646921,21.841675555555558,0.7732677856878504,8.188118811881187,65.32682647600252,94.58977982954545,3.5826381055857373
fifo,0.2,10,100,cubic,3,2,34.504752367049,10.705700078910969,21.872566777777777,0.7189223435986948,6.415841584158416,48.51376450590753,94.58977982954545,3.5826381055857373
fifo,0.2,10,100,cubic,3,3,44.97635090094969,26.02093737439313,21.610537777777775,0.8851787859847869,1.35,1.32096536478043,94.58977982954545,3.5826381055857373
fifo,0.2,10,100,cubic,4,0,47.393364465417356,26.9009489214005,21.65260694444445,0.8892308831144242,12.4699,107.62501021241401,94.5498768939394,3.513944667436233
fifo,0.2,10,100,cubic,4,1,31.599749063151698,7.684829368223082,21.896412833333333,0.7485062914515119,7.752475247524752,61.44727918152181,94.5498768939394,3.513944667436233
fifo,0.2,10,100,cubic,4,2,32.135561980966244,8.993561926127336,21.824303999999998,0.8011378022363244,4.158415841584159,26.755086497063445,94.5498768939394,3.513944667436233
fifo,0.2,10,100,cubic,4,3,46.56307895113443,26.01138244279549,21.497721833333333,0.9350144273224015,1.28,1.3932013856618504,94.5498768939394,3.513944667436233
fifo,0.2,10,100,cubic,5,0,47.07466278987349,26.07412192896306,21.543163416666665,0.9087972405074977,12.62,109.39713400858787,94.54792140151517,3.6344342603224105
fifo,0.2,10,100,cubic,5,1,32.50043588194274,9.253669843805886,21.76764258333333,0.8301673736689178,6.415841584158416,48.51726853950717,94.54792140151517,3.6344342603224105
fifo,0.2,10,100,cubic,5,2,32.275207820989024,10.317642716946224,21.78957508333333,0.8104995363015919,1.6534653465346534,1.6027204594960187,94.54792140151517,3.6344342603224105
fifo,0.2,10,100,cubic,5,3,45.68535827015493,25.613153868573182,21.497325416666673,0.8967581809011571,1.29,1.289389488294849,94.54792140151517,3.6344342603224105
fifo,0.2,10,100,bbr3,1,0,48.508498798078755,27.18915990477702,21.99107413888889,1.1570541645483314,42.66,179.39411046265388,94.50233743686867,3.480809454912097
fifo,0.2,10,100,bbr3,1,1,30.616658446412224,6.451114746345877,22.42606402777778,0.8721650204054464,18.00970297029703,23.781007314890825,94.50233743686867,3.480809454912097
fifo,0.2,10,100,bbr3,1,2,31.926101047728977,11.96751589364444,22.344348749999998,0.9913824698219736,18.03861386138614,35.86188218790818,94.50233743686867,3.480809454912097
fifo,0.2,10,100,bbr3,1,3,46.89064506958564,26.41445089224137,21.80419397222222,1.1917213742908788,31.0194,61.78743015281416,94.50233743686867,3.480809454912097
fifo,0.2,10,100,bbr3,2,0,47.32531470517481,26.355939186011582,21.888566000000004,1.1763005302252505,47.9,183.9809223750653,94.3421827651515,3.819108202331291
fifo,0.2,10,100,bbr3,2,1,31.96574670420106,8.538191875258827,22.35760972222222,0.9427838300177934,18.246633663366335,33.3704187051115,94.3421827651515,3.819108202331291
fifo,0.2,10,100,bbr3,2,2,29.927295953011793,6.388755605796399,22.315846527777786,1.0167533199491863,16.663366336633665,28.56090937898259,94.3421827651515,3.819108202331291
fifo,0.2,10,100,bbr3,2,3,48.335508387713475,27.13901015255226,21.806213833333334,1.2108758279531608,28.76,55.54143416487289,94.3421827651515,3.819108202331291
fifo,0.2,10,100,bbr3,3,0,49.62857874134413,26.349969856747652,21.84776811111111,1.1077372536331918,44.19,180.45222065520264,94.72100142045457,3.0405257208753724
fifo,0.2,10,100,bbr3,3,1,30.74612831988889,7.166817754963458,22.349092388888884,0.8377905790258121,17.00990099009901,21.06157403875833,94.72100142045457,3.0405257208753724
