aqm,qmult,min_delay,bandwidth,protocol,run,delay_mean,efficiency_mean,efficiency_std,fairness_mean,fairness_std,retr_mean,retr_std,efficiency1_mean,efficiency1_std,efficiency2_mean,efficiency2_std,util_mean,util_std
fifo,0.2,10,100,cubic,1,21.735911993055556,39.5236336904059,20.932546416524556,1.0,0.0,0.0748415135625583,0.7148464400164918,0.36851826825024986,0.20660961609457926,0.3678225451786368,0.20611451299553704,94.57331912878787,3.6325792452128804
fifo,0.2,10,100,cubic,2,21.758177479166665,39.50339060519093,21.005894160221303,1.0,0.0,0.07293473428754664,0.8379791776999718,0.3678263372189567,0.20716661467674322,0.3671521134776857,0.20667107005508584,94.58134706439392,3.5240592711952634
fifo,0.2,10,100,cubic,3,21.718858680555556,39.48864552154383,20.792032387158283,1.0,0.0,0.0899015967525653,0.9148331633323297,0.36819432995133844,0.20467058193887358,0.3673580431077273,0.20418025663737016,94.58977982954545,3.5826381055857373
fifo,0.2,10,100,cubic,4,21.71776140277778,39.42293861516743,20.964281205222797,1.0,0.0,0.07338993584931787,0.7235806690450396,0.3677729329731024,0.20646071398785446,0.367084472687932,0.20596505946343546,94.5498768939394,3.513944667436233
fifo,0.2,10,100,cubic,5,21.649426624999997,39.383916190740045,20.698756256944073,1.0,0.0,0.06280016543260261,0.6831741192828155,0.368468305614025,0.20404294551580587,0.3678760750499237,0.20351071413155372,94.54792140151517,3.6344342603224105
fifo,0.2,10,100,bbr3,1,22.141420222222223,39.48547584045139,21.693036053426823,1.0,0.0,0.313397877251924,1.1127949663690373,0.3640056863884545,0.2174962184497056,0.3611558911378646,0.21523706956333716,94.50233743686867,3.480809454912097
fifo,0.2,10,100,bbr3,2,22.09205902083334,39.38846643752529,21.340321379606845,1.0,0.0,0.31861006323970964,1.1302833251720068,0.36409686938942704,0.21512915717968573,0.36119058594194103,0.21280901404994804,94.3421827651515,3.819108202331291
fifo,0.2,10,100,bbr3,3,22.060128902777777,39.346219944786,21.37616782892939,1.0,0.0,0.2870132674032183,1.097590567575677,0.36374023272579875,0.21493636404419042,0.36108879792794896,0.21291605018720544,94.72100142045457,3.0405257208753724
fifo,0.2,10,100,bbr3,4,22.109120020833334,39.56464797779295,21.78201494288757,1.0,0.0,0.3311100290782416,1.1120702159180245,0.3652573858814816,0.21781492923385617,0.3622178819442372,0.21606093260887285,94.77527067550506,3.043852759856948
fifo,0.2,10,100,bbr3,5,22.336899194444445,39.60353411202143,21.85054899661514,1.0,0.0,0.36780513934235076,1.1432416576368454,0.36226535010870237,0.21861460917372386,0.35890376893682346,0.21637744997811317,94.69385969065657,3.4147075621475613
fifo,0.2,10,100,orca,1,22.94793541666667,41.5173485530303,25.245274688517622,1.0,0.0,5.581321146950793,4.558187580670763,0.36448648588623794,0.2265472168425057,0.31658400850768675,0.19868161530696576,94.2873492739899,9.649113050873552
fifo,0.2,10,100,orca,2,22.941680256944448,41.50068470454545,25.808025430825072,1.0,0.0,5.9768050464231575,5.337147246148102,0.3647977575655129,0.231554480551766,0.31317891245637763,0.19819578763344156,94.28922664141415,9.645072837907499
fifo,0.2,10,100,orca,3,22.918882437500002,41.505184141414134,25.93269759115894,1.0,0.0,6.070503690349522,5.483811147986019,0.3650316736400232,0.23264724845605025,0.3126898687829272,0.19544911044493452,94.2904190340909,9.644047534982406
fifo,0.2,10,100,orca,4,23.109004097222222,41.46718632241814,25.965375006878027,1.0,0.0,6.307007519166861,4.898040186783734,0.3627538402094212,0.2339312772080158,0.3084330834562601,0.2038455956991545,94.28544744318184,9.649080628823004
fifo,0.2,10,100,orca,5,23.0160910625,41.53211610858586,26.65424954506483,1.0,0.0,6.221281023167852,5.545883463495483,0.3639056083754557,0.23795753734808267,0.31062088682155975,0.2027981572750641,94.28635022095959,9.646885207511117
fifo,0.2,10,100,sage,1,23.043567072400055,39.854292565,21.855799893443915,1.0,0.0,0.06897769757171175,0.8605667954471746,0.34854074730827733,0.2077067740698656,0.34793558922921886,0.20699854660093395,90.19878472222224,20.42238704433485
fifo,0.2,10,100,sage,2,23.139390679097144,40.225639875,24.76382622732011,1.0,0.0,0.08947429372303521,0.8672957734105183,0.3521708508305269,0.23168623862865656,0.35137736813494824,0.23087013648517388,91.62371133207073,17.984994937070773
fifo,0.2,10,100,sage,3,23.004191738201826,40.18432478,22.615896040186687,1.0,0.0,0.07965201762185167,1.060443364118872,0.35221276084805103,0.21508105403732453,0.35152133315786394,0.21419405356766935,91.0570359848485,18.05361519513532
fifo,0.2,10,100,sage,4,23.006567035305576,40.301341185,21.40094931633211,1.0,0.0,0.11350147759736474,1.0742237507012224,0.35331576408056264,0.20717373805502487,0.3523032913853524,0.20590025574807824,91.20746212121216,17.99119579605661
fifo,0.2,10,100,sage,5,23.11638838366827,40.7458157925,25.515794363422433,1.0,0.0,0.028950705457089554,0.11904032151864542,0.3549294269673813,0.2344121174157282,0.35467521876797586,0.23433142360408168,91.69958491161618,18.158996223867913
fifo,0.2,10,100,vivace,1,23.87824591666667,39.76674601769881,33.79651357162748,1.0,0.0,11.807967513354857,19.097791399097144,0.3395698079652044,0.28492838095281425,0.24176455994422524,0.1879669434966872,94.80363873106062,5.54394985009526
fifo,0.2,10,100,vivace,2,23.88628396527778,39.51500287570436,31.460726990027712,1.0,0.0,20.213410107057484,29.720987816591567,0.33286469294780624,0.26327830803762303,0.16798914745553634,0.17210374676909648,94.81517045454547,5.517546904150919
fifo,0.2,10,100,vivace,3,24.53022576388889,39.63136846442035,41.9382277162357,1.0,0.0,20.110353498316524,24.702769830954367,0.3315060385399192,0.351674845092002,0.16377997964618923,0.1895503816028128,94.82497869318185,5.421990279680983
fifo,0.2,10,100,vivace,4,24.19421617361111,39.37017256314735,38.22852815155336,1.0,0.0,22.678553453132288,27.09391377090124,0.32842700979137496,0.3199383597511505,0.14044047908180657,0.17578298998844338,94.80624131944445,5.514575775535413
fifo,0.2,10,100,vivace,5,23.808578090277777,39.74080771960453,32.8346171093652,1.0,0.0,11.010895914106227,18.097574358436805,0.3384678290422389,0.27628098510038696,0.24679689319356923,0.17308764168649096,94.80524226641414,5.621405462760686
fifo,0.2,10,100,astraea,1,23.579912976729155,40.538885767326725,22.909526160435036,1.0,0.0,1.2626067204261893,0.5668966141896744,0.34118949598772885,0.19656284330734874,0.33049299159714446,0.1975308602286493,93.39119002525254,12.609681382491363
fifo,0.2,10,100,astraea,2,23.577909615384616,40.54097752475248,23.085752737019487,1.0,0.0,1.238580959946362,0.5969139903568048,0.3413700138467176,0.1985829132940701,0.3308761638627237,0.19915906911024087,93.39562657828282,12.578441536378758
fifo,0.2,10,100,astraea,3,23.576451923076924,40.5652063118812,22.90619278072389,1.0,0.0,1.2309174039470616,0.5304370007646818,0.3415210842399387,0.1968662905137812,0.331091752641546,0.19774771018375387,93.4384532828283,12.46128921287166
fifo,0.2,10,100,astraea,4,23.582497723704865,40.52257061881188,22.81453927259924,1.0,0.0,1.2732833179075327,0.5660515075886172,0.3410899280313609,0.19605569800691183,0.3302932177048447,0.19681809762152974,93.34721906565656,12.752624577436872
fifo,0.2,10,100,astraea,5,23.583575562532705,40.50430707920792,22.867065678709952,1.0,0.0,1.290110972390246,0.6515484367758436,0.34088783170513454,0.19640152486398338,0.32995225246524174,0.19704139727441877,93.31667061237374,12.823901925857523
fifo,0.2,100,100,cubic,1,213.6105028611111,36.934325303323014,25.832703173064772,1.0,0.0,0.03481622952133862,0.4096118405707026,0.3471450893311032,0.24177400684703715,0.3468068294872269,0.2413763436414883,91.06174636994949,16.51685427723092
fifo,0.2,100,100,cubic,2,212.24368702777778,36.71363227589862,25.387954197470524,1.0,0.0,0.03752067907532649,0.4415433228049567,0.34873340475897363,0.2434328773160266,0.34837207110529234,0.24301528494148164,90.79315183080809,16.9494230912946
fifo,0.2,100,100,cubic,3,212.51038600694446,36.62480975390171,22.01369366278264,1.0,0.0,0.046573468108675374,0.4693452347327292,0.34540436850360223,0.20533560133642662,0.3449495601161841,0.204871715497245,90.74990056818183,16.92479043725558
fifo,0.2,100,100,cubic,4,211.78752525000004,37.10323101793485,22.089590697927026,1.0,0.0,0.04668733966884328,0.40750348785499263,0.3531744417358904,0.21359403613971187,0.35272498452826584,0.21328316429345204,90.18970170454547,16.46191468197449
fifo,0.2,100,100,cubic,5,213.7739462152778,36.93202898942799,24.114628209088348,1.0,0.0,0.03754914696536847,0.41184428274789725,0.347218198356618,0.22586917386009378,0.3468530963748611,0.22547216198733314,91.08284801136364,16.51097889324729
fifo,0.2,100,100,bbr3,1,215.6554748125,37.88439102955482,25.549367374011617,1.0,0.0,0.41756701113572764,1.8606392152327478,0.3538371154464358,0.24131853034450695,0.3498997763778615,0.23773399750522484,90.35470328282828,16.5976319446759
fifo,0.2,100,100,bbr3,2,216.0315048888889,37.452107727906125,24.583700703648425,1.0,0.0,0.3784236623280084,1.841938214000915,0.34952741712270524,0.23328994196576597,0.3459416629168247,0.2292803174717505,90.48917692550506,16.617458918211643
fifo,0.2,100,100,bbr3,3,217.20944436805556,37.81684551755082,23.64919472330658,1.0,0.0,0.44384287364447295,1.8809610092152718,0.35071586730718174,0.22426727314499792,0.3465534652036711,0.2201631285717366,90.23765624999999,16.742703350400504
fifo,0.2,100,100,bbr3,4,219.78265654861113,38.530904243984075,25.627118082294864,1.0,0.0,0.3839458636383512,1.8099892529375052,0.35438629194502524,0.2425397727963934,0.3507390397180514,0.2385924281274461,90.49832228535354,16.636217585771043
fifo,0.2,100,100,bbr3,5,217.61362950694445,38.13646231305927,24.028057721233413,1.0,0.0,0.3846865981372435,1.813245724633766,0.3529631792842773,0.22763693352932024,0.34933990733666825,0.22445882623413738,90.26414772727273,16.658906426659794
fifo,0.2,100,100,orca,1,227.55749698611106,41.08429763254593,34.290767784652516,1.0,0.0,4.925369718181553,6.043671760630186,0.36318217937243913,0.3060237398437119,0.32178259658044317,0.28277702321021525,92.35222774621214,16.01437803995809
fifo,0.2,100,100,orca,2,228.40720743055556,41.74665805291005,40.45217642843655,1.0,0.0,3.911450229473968,4.909647826643177,0.3674621817959447,0.35687596519242076,0.3355214633098935,0.3320632772001745,92.42997711489902,16.131447277376775
fifo,0.2,100,100,orca,3,224.04259583333334,39.58363665183246,39.15408289339788,1.0,0.0,4.094622028407766,5.041727956145971,0.3547082894919771,0.35218237463326957,0.32040754887972134,0.32708603137685527,87.29029829545456,25.707187234167833
fifo,0.2,100,100,orca,4,224.25359795138888,39.867047464751955,36.68267158134335,1.0,0.0,4.200308500830807,5.062143680782732,0.3565358820825858,0.32902354057760647,0.3212242053160734,0.3021664592551574,87.47346985479798,25.40142541899227
fifo,0.2,100,100,orca,5,226.3858751111111,40.485433492105265,40.21812621690459,1.0,0.0,4.645020214479361,6.008472956048306,0.3604245159147402,0.3596513035595342,0.3212402742494896,0.3355858795355094,92.53957938762625,16.03618464856702
fifo,0.2,100,100,sage,1,224.96764158151296,36.36106445897436,20.373958890315798,1.0,0.0,6.117170817816436,18.43670267722722,0.32638732209197363,0.1910281717902797,0.2702840381339919,0.1949996663306643,82.30646385732322,21.19992376401672
fifo,0.2,100,100,sage,2,226.016844585475,37.30074565974026,23.64540997857742,1.0,0.0,7.9328622390974814,19.722606604958845,0.3314315933917642,0.21466645905282788,0.2583096349890363,0.2151907291225031,84.72307765151518,20.94892493366408
fifo,0.2,100,100,sage,3,223.4878969411294,36.386069657216495,23.456002793695788,1.0,0.0,9.397905264327775,23.52935186798114,0.3271844647318349,0.21597999468354612,0.2412454286595838,0.22507717651588735,80.72842803030304,21.18667112034251
fifo,0.2,100,100,sage,4,225.25269692615976,36.584775171794874,21.289997142108447,1.0,0.0,5.008896784995919,15.838110090081852,0.3274865410529177,0.19804550124288825,0.28183791702406535,0.18208254641508945,82.93072285353536,21.36657056956894
fifo,0.2,100,100,sage,5,226.0075665289628,36.688433875,19.929455218700475,1.0,0.0,8.074745633708897,22.722400084636018,0.3278804509355484,0.185027246877398,0.2553294846614318,0.2088198267407695,83.51846038510101,21.82422158353607
